Team	Year	Position	Number	Name	Age	Game Started	Sub Ins	Goals	Total Shots	Shots on Target	Assists	Fouls	Fouls Suffered	Yellow cards	Red cards
Manchester_U	s2011	Midfielder	43	Matty James	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2011	Midfielder	53	Jesse Lingard	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2011	Midfielder	17	Nani	30	24	5	8	65	19	10	29	28	2	0
Manchester_U	s2011	Midfielder	8	Anderson	29	8	2	2	10	6	1	12	2	2	0
Manchester_U	s2011	Midfielder	13	Park Ji-Sung	36	10	7	2	12	5	1	2	24	0	0
Manchester_U	s2011	Midfielder	42	Paul Pogba	24	0	3	0	4	0	0	1	1	0	0
Manchester_U	s2011	Midfielder	22	Paul Scholes	42	14	3	4	21	7	0	22	10	3	0
Manchester_U	s2011	Midfielder	25	Antonio Valencia	31	22	5	4	26	8	13	46	17	3	0
Manchester_U	s2011	Midfielder	18	Ashley Young	31	19	6	6	54	21	7	17	51	3	0
Manchester_U	s2011	Forward	9	Dimitar Berbatov	36	5	7	7	16	9	0	8	2	0	0
Manchester_U	s2011	Forward	14	Javier Hernández	28	18	10	10	47	22	2	12	15	0	0
Manchester_U	s2011	Forward	48	William Keane	24	0	1	0	1	0	0	0	0	0	0
Manchester_U	s2011	Forward	7	Michael Owen	37	0	1	0	2	0	0	0	0	0	0
Manchester_U	s2011	Forward	10	Wayne Rooney	31	32	2	27	157	70	4	29	35	1	0
Manchester_U	s2011	Forward	19	Danny Welbeck	26	23	7	9	80	34	4	16	25	3	0
Manchester_U	s2012	Defender	28	Alexander Büttner	28	4	1	2	7	4	1	7	7	1	0
Manchester_U	s2012	Defender	2	Rafael	26	27	1	3	21	5	3	36	28	6	1
Manchester_U	s2012	Defender	6	Jonny Evans	29	21	2	3	10	8	1	14	22	2	0
Manchester_U	s2012	Defender	3	Patrice Evra	35	34	0	4	22	11	5	34	31	3	0
Manchester_U	s2012	Defender	5	Rio Ferdinand	38	26	2	1	2	1	1	7	11	2	0
Manchester_U	s2012	Defender	4	Phil Jones	25	14	4	0	11	0	1	14	21	4	0
Manchester_U	s2012	Defender	12	Chris Smalling	27	10	5	0	8	1	0	6	8	1	0
Manchester_U	s2012	Defender	39	Tom Thorpe	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Defender	36	Marnick Vermijl	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Defender	49	Frederic Veseli	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Defender	15	Nemanja Vidic	35	18	1	1	11	1	0	20	11	2	0
Manchester_U	s2012	Midfielder	16	Michael Carrick	35	34	2	1	18	5	4	30	32	3	0
Manchester_U	s2012	Midfielder	23	Tom Cleverley	27	18	4	2	19	5	2	8	22	1	0
Manchester_U	s2012	Midfielder	34	Larnell Cole	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Midfielder	24	Darren Fletcher	33	2	1	1	2	1	0	2	3	0	0
Manchester_U	s2012	Midfielder	11	Ryan Giggs	43	12	10	2	14	3	3	13	4	0	0
Manchester_U	s2012	Midfielder	NA	Adnan Januzaj	22	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Midfielder	26	Shinji Kagawa	28	17	3	6	21	10	3	9	20	1	0
Manchester_U	s2012	Midfielder	35	Jesse Lingard	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Midfielder	17	Nani	30	7	4	1	19	4	2	7	10	1	0
Manchester_U	s2012	Midfielder	8	Anderson	29	9	8	1	10	5	1	8	7	1	0
Manchester_U	s2012	Midfielder	22	Paul Scholes	42	8	8	1	12	4	1	20	11	7	0
Manchester_U	s2012	Midfielder	7	Antonio Valencia	31	24	6	1	17	2	5	37	21	6	0
Manchester_U	s2012	Midfielder	18	Ashley Young	31	17	2	0	27	10	3	14	40	1	0
Manchester_U	s2012	Forward	14	Javier Hernández	28	9	13	10	44	23	3	13	20	1	0
Manchester_U	s2012	Forward	48	William Keane	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2012	Forward	25	Nick Powell	23	0	2	1	1	1	0	0	0	0	0
Manchester_U	s2012	Forward	10	Wayne Rooney	31	22	5	12	86	35	10	27	18	7	0
Manchester_U	s2012	Forward	19	Danny Welbeck	26	13	14	1	39	9	4	14	15	1	0
Manchester_U	s2012	Forward	20	Robin van Persie	33	35	3	26	141	65	8	37	54	6	0
Manchester_U	s2013	Defender	28	Alexander Büttner	28	5	3	0	5	0	0	7	8	2	0
Manchester_U	s2013	Defender	2	Rafael	26	18	1	0	7	2	1	19	24	5	0
Manchester_U	s2013	Defender	6	Jonny Evans	29	17	0	0	7	1	0	1	11	0	0
Manchester_U	s2013	Defender	3	Patrice Evra	35	33	0	1	19	9	3	35	31	2	0
Manchester_U	s2013	Defender	5	Rio Ferdinand	38	12	2	0	0	0	0	0	3	0	0
Manchester_U	s2013	Defender	4	Phil Jones	25	26	0	1	12	4	2	30	26	5	0
Manchester_U	s2013	Defender	38	Michael Keane	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Defender	12	Chris Smalling	27	21	4	1	13	3	0	19	15	2	0
Manchester_U	s2013	Defender	30	Gullermo Varela	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Defender	15	Nemanja Vidic	35	23	2	0	16	2	0	32	13	5	2
Manchester_U	s2013	Midfielder	16	Michael Carrick	35	26	3	1	17	5	0	12	22	5	0
Manchester_U	s2013	Midfielder	23	Tom Cleverley	27	18	4	1	15	5	0	16	30	3	0
Manchester_U	s2013	Midfielder	31	Marouane Fellaini	29	15	4	0	30	9	1	42	20	2	0
Manchester_U	s2013	Midfielder	24	Darren Fletcher	33	9	3	0	5	1	0	3	11	0	0
Manchester_U	s2013	Midfielder	11	Ryan Giggs	43	6	6	0	5	2	0	6	1	3	0
Manchester_U	s2013	Midfielder	44	Adnan Januzaj	22	15	12	4	47	12	3	31	60	7	0
Manchester_U	s2013	Midfielder	26	Shinji Kagawa	28	14	4	0	14	6	3	4	8	0	0
Manchester_U	s2013	Midfielder	35	Jesse Lingard	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Midfielder	8	Juan Mata	29	25	3	6	39	12	6	14	41	0	0
Manchester_U	s2013	Midfielder	17	Nani	30	7	4	0	17	3	0	5	9	0	0
Manchester_U	s2013	Midfielder	32	Nick Powell	23	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Midfielder	25	Antonio Valencia	31	20	9	2	16	6	3	38	23	6	1
Manchester_U	s2013	Midfielder	18	Ashley Young	31	13	7	2	17	6	1	18	19	4	0
Manchester_U	s2013	Midfielder	29	Wilfried Zaha	24	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Forward	33	Bebé	26	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Forward	14	Javier Hernández	28	6	18	4	21	11	3	6	14	2	0
Manchester_U	s2013	Forward	34	Tom Lawrence	23	1	0	0	2	0	0	1	1	0	0
Manchester_U	s2013	Forward	27	Federico Macheda	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2013	Forward	10	Wayne Rooney	31	27	2	17	101	43	10	31	28	8	0
Manchester_U	s2013	Forward	19	Danny Welbeck	26	15	10	9	46	19	1	11	31	2	0
Manchester_U	s2013	Forward	47	James Wilson	21	1	0	2	4	2	0	1	0	0	0
Manchester_U	s2013	Forward	20	Robin van Persie	33	18	3	12	62	21	3	26	11	2	0
Manchester_U	s2014	Defender	2	Rafael	26	6	4	0	2	0	1	6	11	2	0
Manchester_U	s2014	Defender	6	Jonny Evans	29	12	2	0	1	0	0	7	9	1	0
Manchester_U	s2014	Defender	4	Phil Jones	25	22	0	0	3	1	0	26	29	3	0
Manchester_U	s2014	Defender	33	Paddy McNair	22	12	4	0	4	2	0	8	5	2	0
Manchester_U	s2014	Defender	5	Marcos Rojo	28	20	2	0	16	3	0	24	4	6	0
Manchester_U	s2014	Defender	3	Luke Shaw	21	15	1	0	3	1	0	12	15	1	1
Manchester_U	s2014	Defender	12	Chris Smalling	27	21	4	4	17	6	0	24	11	1	1
Manchester_U	s2014	Midfielder	17	Daley Blind	27	25	0	2	28	9	2	25	11	4	0
Manchester_U	s2014	Midfielder	16	Michael Carrick	35	16	2	1	8	4	2	8	10	1	0
Manchester_U	s2014	Midfielder	7	Ángel Di María	29	20	7	3	61	18	10	5	22	1	0
Manchester_U	s2014	Midfielder	31	Marouane Fellaini	29	19	8	6	36	17	0	61	30	5	1
Manchester_U	s2014	Midfielder	21	Ander Herrera	27	19	7	6	37	7	4	30	39	6	0
Manchester_U	s2014	Midfielder	11	Adnan Januzaj	22	7	11	0	25	5	0	13	23	0	0
Manchester_U	s2014	Midfielder	8	Juan Mata	29	27	6	9	33	12	4	27	36	2	0
Manchester_U	s2014	Midfielder	44	Andreas Pereira	21	0	1	0	0	0	0	1	0	0	0
Manchester_U	s2014	Midfielder	25	Antonio Valencia	31	29	3	0	6	3	2	38	23	4	0
Manchester_U	s2014	Midfielder	18	Ashley Young	31	23	3	2	29	7	5	24	27	5	0
Manchester_U	s2014	Forward	9	Radamel Falcao	31	14	12	4	37	16	4	21	25	2	0
