2013|",G,,--,,,,Thibaut Courtois,,,24,,--,,--,,--,,--,,--,,--,,--,,--,,--,,--,,--,"
2013|",G,,40,,,,Henrique Hilario,,,41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"
2013|",G,,23,,,,Mark Schwarzer,,,44,,4,,0,,15,,3,,0,,0,,0,,0,,0,,0,,0,"
2014|",G,,33,,,,Mitchell Beeney,,,21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"
2014|",G,,1,,,,Petr Cech,,,34,,6,,1,,16,,2,,0,,0,,0,,0,,0,,0,,0,"
2014|",G,,13,,,,Thibaut Courtois,,,24,,32,,0,,74,,30,,0,,8,,1,,0,,0,,0,,0,"
2015|",G,,32,,,,Marco Amelia,,,35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"
2015|",G,,1,,,,Asmir Begovic,,,29,,15,,2,,51,,24,,0,,4,,0,,0,,0,,0,,0,"
2015|",G,,13,,,,Thibaut Courtois,,,24,,23,,0,,66,,29,,2,,1,,1,,2,,0,,0,,0,"
2016|",G,,1,,,,Asmir Begovic,,,29,,1,,0,,1,,2,,0,,0,,0,,0,,0,,0,,0,"
2016|",G,,13,,,,Thibaut Courtois,,,24,,34,,0,,64,,27,,1,,2,,1,,0,,0,,0,,0,"
2016|",G,,37,,,,Eduardo,,,34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"
